id,status2021EN,status2021HE,surnameHE,givenNameHE,surnameEN,givenNameEN,genderEN,genderHE,nationalityEN,nationalityHE,religionEN,religionHE,religiousityEN,religiousityHE,ethnicityEN,ethnicityHE,birthCountryEN,birthCountryHE,birthYear,majorChildhoodCityHE,majorChildhoodCityEN,citySocio,highschoolHE,educationTypeEN,educationTypeHE,armyServiceEN,armyServiceHE,mainLegalEducationEN,mainLegalEducationHE,mainLegalEducationTypeInstEN,mainLegalEducationTypeInstHE,YearFisrtDegreeGraduation,typeAdvancedLegalEducationEN,typeAdvancedLegalEducationHE,universityAdvancedLegalEducationEN,universityAdvancedLegalEducationHE,yearAdvancedLegalEducation,otherAdvancedEducationHE,placeOfInternshipEN,placeOfInternshipHE,yearOfBecomingLawyer,lastPositionBeforeJudgeshipEN,lastPositionBeforeJudgeshipEN,position1EN,position1HE,court1NameEN,court1NameHE,position1Year,position2EN,position2HE,court2NameEN,court2NameHE,position2Year,position3EN,position3HE,court3NameEN,court3NameHE,position3Year,position4EN,position4HE,court4NameEN,court4NameHE,position4Year,position5EN,position5HE,court5NameEN,court5NameHE,position5Year,position6EN,position6HE,court6NameEN,court6NameHE,position6Year,position7EN,position7HE,court7NameEN,court7NameHE,position7Year,position8EN,position8HE,court8NameEN,court8NameHE,position8Year,everInSupremeCourt,everInSupremeStartYear1,everInSupremeEndYear1,everInSupremeStartYear2,everInSupremeEndYear2,everInDistrict,everInDistrictStartYear1,everInDistrictEndYear1,everInDistrictStartYear2,everInDistrictEndYear2,everInMagistrate,everInMagistrateStartYear1,everInMagistrateEndYear1,everInMagistrateStartYear2,everInMagistrateEndYear2,everInLaborRegional,everInLaborRegionalStartYear1,everInLaborRegionalEndYear1,everInLaborRegionalStartYear2,everInLaborRegionalEndYear2,everInLaborNational,everInLaborNationalStartYear,everInLaborNationalEndYear,endOfCareerEN,endOfCareerHE,endOfCareerYear,comments,ageOfEnteringJudgeship,xpInFirstNom,ageOfRetirement,JudgeshipxpInRet
901,Inactive,אינו פעיל\ אינה פעילה,לב דוד,דוד,David Lev,Uncle,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1929,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1955,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,1956,Unknown,לא ידוע,Judge - specialty,שיפוט (מומחיות),Magistrate - Unknown,שלום- לא ידוע,1959,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1959,1962,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1962,פרישה מוקדמת מטעם לא ידוע,30,3,33,3
902,Inactive,אינו פעיל\ אינה פעילה,לבנוני שלמה,שלמה,Lebanese Solomon,Shlomo,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1945,חיפה,Haifa,7,בית חינוך,state-secular,ממלכתי,Army Service,Army Service,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1968,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1969,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Haifa District,שלום- מחוז חיפה,1996,Vice President,"סגנות לנשיאות בימ""ש",Magistrate - Haifa District,שלום- מחוז חיפה,2009,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1996,2015,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2015,,51,27,70,19
903,Active,פעיל\ה,לובוצקי ,יצחק,Lubotski,Isaac,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1957,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Army Service,Army Service,Bar Ilan University ,אוניברסיטת בר אילן,University,אוניברסיטה,1979,Masters,Masters,Bar Ilan University (BIU),אוניברסיטת בר אילן,1983,דוקטורט במדעי הניהול בן גוריון,IDF,"צה""ל",1981,"Security Forces (Police, IDF, ISA) ","כוחות הבטחון (צה""ל, משטרה, שב""כ)",Registrar,רשמות,Labor - Jerusalem,עבודה- ירושלים,1985,Judge,שיפוט,Labor - Beer Sheva,עבודה- באר שבע,1987,Judge,שיפוט,Labor - Tel Aviv,עבודה- תל אביב,1992,Senior Judge,שיפוט בכיר,Labor - Tel Aviv,עבודה- תל אביב,2015,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,FALSE,,,,,TRUE,1985,9999,,,FALSE,,,null,null,9999,החל מ-2002 מלמד דיני עבודה בבר אילן. ב2004 קיבל תואר דוקטור מהפקולטה למדעי הניהול בבן גוריון.,28,4,FALSE,null
904,Active,פעיל\ה,מטלין ,חגית,Tallinn,Hagit,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1964,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Army Service,Army Service,Reichman University,אוניברסיטת רייכמן,College,מכללה,1998,Unknown,לא ידוע,Unknown,לא ידוע,null,שני עבודה סוציאלית בר אילן,Unknown,לא ידוע,1999,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Center District,שלום- מחוז מרכז,2007,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2007,9999,,,FALSE,,,,,FALSE,,,null,null,9999,תואר ראשון 1987 ושני 1993 בעבודה סוציאלית מבר אילן,43,8,FALSE,null
905,Active,פעיל\ה,לובינצקי זיו,גלעד,Lobintzki Ziv,monument,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,West-North Europe,מערב וצפון אירופה,1975,יהוד,Yehud,8,התיכון המקיף יהוד,state-secular,ממלכתי,Army Service,Army Service,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,2001,Masters,Masters,Tel Aviv University (TAU),אוניברסיטת תל אביב,2008,לא ידוע,Law Firm,"משרד עו""ד",2002,Law Firm,"משרד עו""ד",Registrar,רשמות,Supreme Court,עליון,2014,Judge,שיפוט,Magistrate - Unknown,שלום- לא ידוע,2014,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,2014,2014,,,FALSE,,,,,TRUE,2014,9999,,,FALSE,,,,,FALSE,,,null,null,9999,-99,39,12,FALSE,null
906,Inactive,אינו פעיל\ אינה פעילה,"לוטן זאב ז""ל",זאב,"Lotan Ze'ev,",Wolf,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1929,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Unknown,Unkown,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1954,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,1956,Unknown,לא ידוע,Judge,שיפוט,Magistrate - Tel Aviv-Jaffa,שלום- תל אביב יפו,1963,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1963,1976,,,FALSE,,,,,FALSE,,,deceased,פטירה,1976,,34,7,47,13
907,Active,פעיל\ה,לוי,אבי,Levi,Avi,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1965,בת ים,Bat Yam,5,עירוני א,state-secular,ממלכתי,Army Service,Army Service,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1985,Masters,Masters,Tel Aviv University (TAU),אוניברסיטת תל אביב,1999,לא ידוע,Law Firm,"משרד עו""ד",1988,"Security Forces (Police, IDF, ISA) ","כוחות הבטחון (צה""ל, משטרה, שב""כ)",Judge,שיפוט,District - Haifa,מחוזי- חיפה,2016,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,2016,9999,,,FALSE,,,,,FALSE,,,,,FALSE,,,null,null,9999,,51,28,FALSE,null
908,Active,פעיל\ה,לוי ,ירון,Levi,Yaron,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1962,ירושלים,Jerusalem,3,"תיכון ""מכללת אורט"" בירושלים",state-secular,ממלכתי,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1984,Masters,Masters,University of Haifa,אוניברסיטת חיפה,2007,לא ידוע,IDF,"צה""ל",1986,Unknown,לא ידוע,Judge - specialty,שיפוט (מומחיות),Magistrate - Unknown,שלום- לא ידוע,1997,Acting Judge,שיפוט בפועל,Magistrate - Unknown,שלום- לא ידוע,2001,Judge,שיפוט,Magistrate - Center District,שלום- מחוז מרכז,2002,Vice President,"סגנות נשיאות בימ""ש",Magistrate - Center District,שלום- מחוז מרכז,2010,Judge,שיפוט,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,2013,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,2013,9999,,,TRUE,1997,2012,,,FALSE,,,,,FALSE,,,null,null,9999,עתודאי,35,11,FALSE,null
909,Active,פעיל\ה,לוי ,מרדכי (מוטי),Levi,Mordechai (Moti),Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1955,כפר סבא,Kfar Saba,8,תיכון כצנלסון בכפר סבא,state-secular,ממלכתי,Army Service,Army Service,Bar Ilan University ,אוניברסיטת בר אילן,University,אוניברסיטה,1997,Unknown,לא ידוע,Unknown,לא ידוע,null,שני מדיניות ציבורית בר אילן,Law Firm,"משרד עו""ד",1998,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Tel Aviv District,שלום- מחוז תל אביב,2014,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2014,9999,,,FALSE,,,,,FALSE,,,null,null,9999,"בשנת 1985 סיים לימודי תואר ראשון במדע המדינה ולימודי ארץ ישראל באוניברסיטת בר אילן. ב92 סיים לימודי תואר שני במדיניות ציבורית בביה""ס לעסקים באוניברסיטת אוהיו בארה""ב.",59,16,FALSE,null
910,Active,פעיל\ה,מישורי ,מישורי,plane,plane,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1973,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Army Service,Army Service,University of Haifa,אוניברסיטת חיפה,University,אוניברסיטה,1997,Masters,Masters,University of Haifa,אוניברסיטת חיפה,2011,לא ידוע,District Court,"בימ""ש מחוזי",1998,Law Firm,"משרד עו""ד",Registrar,רשמות,Magistrate - Haifa District,שלום- מחוז חיפה,2007,Judge,שיפוט,Magistrate - Haifa,שלום- חיפה,2009,Judge,שיפוט,Magistrate - Afula,שלום- עפולה,2012,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2007,9999,,,FALSE,,,,,FALSE,,,null,null,9999,-99,34,9,FALSE,null
911,Active,פעיל\ה,לוי ,מרדכי,Levi,Mordechai,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Mizrahi,מזרחי\ת,North Africa,צפון אפריקה,1956,חוץ לארץ,abroad,null,null,Unknown,לא ידוע,Army Service,Army Service,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1977,Masters,Masters,Hebrew University of Jerusalem (HUJI),האוניברסיטה העברית בירושלים,1994,לא ידוע,IDF,"צה""ל",1981,"Security Forces (Police, IDF, ISA) ","כוחות הבטחון (צה""ל, משטרה, שב""כ)",Judge,שיפוט,District - Beer Sheva,מחוזי- באר שבע,2009,Judge,שיפוט,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,2015,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,2009,9999,,,FALSE,,,,,FALSE,,,,,FALSE,,,null,null,9999,עתודאי,53,28,FALSE,null
912,Inactive,אינו פעיל\ אינה פעילה,"לוי אדמונד ז""ל",אדמונד,,Edmund,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - Orthodox Background,דתי אורותודכסי,Mizrahi,מזרחי\ת,Middle East (Asia),מזרח תיכון,1941,רמת גן,Ramat Gan,8,בית ספר דביר,religious (state and independent),דתי (ממלכתי\עצמאי),Army Service,Army Service,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1969,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,1970,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Unknown,שלום- לא ידוע,1979,Judge,שיפוט,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1984,Acting Judge,שיפוט בפועל,Supreme Court,עליון,2000,Judge,שיפוט,Supreme Court,עליון,2001,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,2000,2011,,,TRUE,1984,1999,,,TRUE,1979,1983,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2011,נפטר 2013,38,9,70,32
913,Inactive,אינו פעיל\ אינה פעילה,"לוי מורנו ז""ל",מורנו,,Moreno,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Unknown,לא ידוע,Unknown,לא ידוע,Unknown,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Unknown,Unkown,Unknown,לא ידוע,Unknown,לא ידוע,Unknown,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,Unknown,Unknown,לא ידוע,Unknown,לא ידוע,Unknown,לא ידוע,Unknown,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1976,אין כל מידע באתר הרשות השופטת או ברשומות - רק סיום ב1976,Unknown,Unknown,Unknown,Unknown
914,Inactive,אינו פעיל\ אינה פעילה,לויט ישי,ישי,Yishai Levitt,Vichy,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1936,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1960,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,1963,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Unknown,שלום- לא ידוע,1976,Registrar,רשמות,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1980,Acting Judge,שיפוט בפועל,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1982,Judge,שיפוט,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1983,Vice President,"סגנות נשיאות בימ""ש",District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1984,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1980,2002,,,TRUE,1976,1979,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2002,,40,13,66,26
915,Inactive,אינו פעיל\ אינה פעילה,לוין יוסף,יוסף,Joseph Levine,Yosef,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Africa (except north),אפריקה (ללא צפון אפריקה),1928,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Unknown,Unkown,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1954,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,1954,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Unknown,שלום- לא ידוע,1962,Registrar,רשמות,District - Beer Sheva,מחוזי- באר שבע,1965,Judge,שיפוט,District - Beer Sheva,מחוזי- באר שבע,1969,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1965,1989,,,TRUE,1962,1964,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1989,,34,8,61,27
916,Inactive,אינו פעיל\ אינה פעילה,"לוין ישראל ז""ל",ישראל,Levin Israel Memorial,Israel,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1904,ירושלים,Jerusalem,3,null,Unknown,לא ידוע,Unknown,Unkown,Britain and its Colonies,בריטניה והקולוניות,Abroad,"חו""ל",Unknown,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,1931,Unknown,לא ידוע,Judge,שיפוט,Distrcit - Unknown,מחוזי- מחוז לא ידוע,1949,Acting Judge,שיפוט בפועל,Supreme Court,עליון,1951,Judge,שיפוט,Distrcit - Unknown,מחוזי- מחוז לא ידוע,1952,Vice President,"סגנות נשיאות בימ""ש",Labor - National,עבודה- ארצי,1969,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1949,1974,,,FALSE,,,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1975,נפטר במועד לא ידוע,45,18,71,26
917,Inactive,אינו פעיל\ אינה פעילה,לוין שלמה,שלמה,,Shlomo,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1933,נתניה,Netanya,6,טשרניחובסקי - נתניה,state-secular,ממלכתי,Unknown,Unkown,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1955,PhD,PhD,Hebrew University of Jerusalem (HUJI),האוניברסיטה העברית בירושלים,1969,לא ידוע,Law Firm,"משרד עו""ד",1957,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Tel Aviv-Jaffa,שלום- תל אביב יפו,1966,Acting Judge,שיפוט בפועל,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1973,Judge,שיפוט,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1975,Acting Judge,שיפוט בפועל,Supreme Court,עליון,1977,Judge,שיפוט,Supreme Court,עליון,1980,Vice President,"סגנות נשיאות בימ""ש",Supreme Court,"בימ""ש עליון",1995,null,null,null,null,null,null,null,null,null,null,TRUE,1977,2003,,,TRUE,1972,1976,,,TRUE,1966,1972,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2003,,33,9,70,37
918,Inactive,אינו פעיל\ אינה פעילה,"לוינטל חנן ז""ל",חנן,Lowenthal Hannan Memorial,Hanan,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1903,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Unknown,Unkown,Abroad (other),"חו""ל (אחר)",Abroad,"חו""ל",Unknown,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,1936,Municipality,רשות מקומית,Judge,שיפוט,Magistrate - Hadera,שלום- חדרה,1954,Judge,שיפוט,Magistrate - Acre,שלום- עכו,1957,Judge,שיפוט,District - Beer Sheva,מחוזי- באר שבע,1967,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1967,1969,,,TRUE,1954,1966,,,FALSE,,,,,FALSE,,,deceased,פטירה,1969,נפטר 1992; מידע מברון,51,18,66,15
919,Active,פעיל\ה,לוקשינסקי-גל,אמיר,Loksinski-wave,emir,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1974,חוף הכרמל,Carmel Beach,8,חוף הכרמל,state-secular,ממלכתי,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,2003,Masters,Masters,Hebrew University of Jerusalem (HUJI),האוניברסיטה העברית בירושלים,2005,לא ידוע,Public Prosecutor ,פרקליטות המדינה,2004,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Center District,שלום- מחוז מרכז,2016,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2016,9999,,,FALSE,,,,,FALSE,,,null,null,9999,,42,12,FALSE,null
920,Inactive,אינו פעיל\ אינה פעילה,לחוביצקי חיים,חיים,Lhobitzki life,Haim,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1949,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1976,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Police,משטרה,1978,"Security Forces (Police, IDF, ISA) ","כוחות הבטחון (צה""ל, משטרה, שב""כ)",Judge - specialty,שיפוט (מומחיות),Magistrate - Unknown,שלום- לא ידוע,1983,Judge,שיפוט,Magistrate - Unknown,שלום- לא ידוע,1993,Vice President,"סגנות נשיאות בימ""ש",Magistrate - Jerusalem District,שלום- מחוז ירושלים,2001,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1983,2004,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2004,פרישה מוקדמת מטעם לא ידוע,34,5,55,21
921,Inactive,אינו פעיל\ אינה פעילה,לי-רן חיים,חיים,Li-Ran life,Haim,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1943,חיפה,Haifa,7,בית ספר חוגים,state-secular,ממלכתי,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1967,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,1973,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Jerusalem,שלום- ירושלים,1996,Senior Judge,שיפוט בכיר,Magistrate - Jerusalem District,שלום- מחוז ירושלים,2010,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1996,2013,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2013,,53,23,70,17
922,Active,פעיל\ה,ליבליין,יהודה,libleyn,Yehuda,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1965,ירושלים,Jerusalem,3,אורט גבעת רם,state-secular,ממלכתי,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1994,Masters,Masters,Tel Aviv University (TAU),אוניברסיטת תל אביב,1995,ראשון בכלכלה ומנהל עסקים העברית,Law Firm,"משרד עו""ד",1995,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Southern District,שלום- מחוז דרום,2015,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2015,9999,,,FALSE,,,,,FALSE,,,null,null,9999,,50,20,FALSE,null
923,Inactive,אינו פעיל\ אינה פעילה,"ליבסון אליעזר ז""ל",אליעזר,Libson Eliezer late,Eliezer,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1910,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Army Service,Army Service,Law Classes (British Mandate),לימודי משפטים במנדט הבריטי,Abroad,"חו""ל",Unknown,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,1944,Public Prosecutor,פרקליטות המדינה,Judge,שיפוט,Magistrate - Petah Tikva,שלום- פתח תקווה,1969,President,"נשיאות בימ""ש",Magistrate - Center District,שלום- מחוז מרכז,1969,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1969,1980,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1980,נפטר 1985; גיל פרישה תוקן לגיל 70,59,25,70,11
924,Active,פעיל\ה,ליברדו,יובל,Hibberd,jubilee,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Mizrahi,מזרחי\ת,Israel\Palestine,ישראל\פלשתינה,1976,באר שבע,Beer Sheva,5,מקיף א באר שבע,state-secular,ממלכתי,Army Service,Army Service,The Academic Center for Law and Science,המרכז האקדמי שערי מדע ומשפט,College,מכללה,2002,PhD,PhD,Hebrew University of Jerusalem (HUJI),האוניברסיטה העברית בירושלים,2010,לא ידוע,Public Prosecutor ,פרקליטות המדינה,2003,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Beer Sheva,שלום- באר שבע,2012,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2012,9999,,,FALSE,,,,,FALSE,,,null,null,9999,-99,36,9,FALSE,null
